Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.1759462356567383,33.4,1.9916131496429443,64.0
2,1.692530632019043,82.6,1.330583244562149,82.0
3,1.0427924394607544,90.9,0.6384945884346962,90.0
4,0.5232354998588562,96.0,0.33551493473351,95.0
5,0.2525639459490776,97.1,0.23180810548365116,95.0
6,0.14684927463531494,99.0,0.23472691234201193,96.0
7,0.15307431295514107,99.3,0.2257764134556055,96.0
8,0.14051194861531258,99.2,0.20718600088730454,94.0
9,0.13503536954522133,98.8,0.21834192518144846,96.0
10,0.11544511839747429,98.9,0.2116608340293169,96.0
