Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.186542510986328,35.7,2.02817365527153,73.0
2,1.7418746948242188,82.0,1.4758872985839844,84.0
3,1.096904695034027,92.0,0.7295680493116379,87.0
4,0.5674746036529541,93.7,0.3601243272423744,90.0
5,0.2932026758790016,97.3,0.2464480409398675,95.0
6,0.18866946175694466,97.7,0.2507156925275922,93.0
7,0.15320872142910957,98.1,0.23811204452067614,93.0
8,0.16296258382499218,98.3,0.2250061985105276,94.0
9,0.14789971336722374,98.9,0.2202263418585062,95.0
10,0.12654832564294338,98.4,0.22183913551270962,94.0
