Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.1593860444568453,33.7,2.0167479515075684,64.0
2,1.7483723958333333,80.1,1.5184975351606096,83.0
3,1.173540508936322,89.5,0.8909648145948138,89.0
4,0.653049317617265,93.1,0.4623935265200479,92.0
5,0.3997260502406529,93.9,0.30956098969493595,94.0
6,0.28763548911563935,96.1,0.3210713288613728,95.0
7,0.2583294595990862,96.3,0.30704991200140547,95.0
8,0.23887693314325242,97.7,0.2930355391332081,95.0
9,0.2156150984385657,97.4,0.27418950306517736,96.0
10,0.22908887787470741,96.8,0.273707498397146,95.0
