Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,1.8767271728515624,53.0,0.8776446443337661,93.0
2,0.64406103515625,85.0,0.2904127202928066,94.0
3,0.28279001140594484,92.7,0.20940754419335952,96.0
4,0.18587739419937133,94.9,0.19821874931669578,92.0
5,0.1460967868566513,95.5,0.17242354539205104,93.0
6,0.06331976222991943,98.3,0.07473822453623423,95.0
7,0.0791092540025711,98.1,0.08786283628209136,96.0
8,0.0446945526599884,98.8,0.06784555547458765,99.0
9,0.04774405860900879,98.7,0.10911852544701944,96.0
10,0.048037498950958255,98.7,0.10384145114137656,96.0
