Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.3114837162078374,12.8,2.28682998248509,18.0
2,2.272769988529266,17.2,2.23925028528486,25.0
3,2.2083343021453374,29.8,2.177825621196202,43.0
4,2.123689197358631,48.6,2.08543062210083,54.0
5,1.9789205884176588,68.4,1.9335859843662806,68.0
6,1.8699767097594246,76.9,1.9234559025083269,71.0
7,1.8445638020833333,80.1,1.9001398427145821,72.0
8,1.8039521716889881,81.5,1.863689320428031,71.0
9,1.7504999069940477,81.2,1.7810246433530534,76.0
10,1.6643124534970237,85.3,1.7151341608592443,78.0
