Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,1.8690544007316467,57.8,1.2645692910466875,88.0
2,0.7958769117082868,91.1,0.4390829695122583,90.0
3,0.33098722261095803,95.6,0.2505544658218111,92.0
4,0.17520808889752343,96.6,0.22061546945146152,92.0
5,0.0839700781636768,98.0,0.16288440215534397,93.0
6,0.06929704263096764,98.0,0.12341791245021991,95.0
7,0.031180103974682943,99.6,0.11519311521468419,95.0
8,0.02853478290258892,99.5,0.12040031169142042,94.0
9,0.04183121167478107,99.0,0.10572030854278378,97.0
10,0.02301448488992358,99.5,0.11477572555720274,95.0
