Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.3007996574280756,8.5,2.2776621750422885,13.0
2,2.3016153971354165,9.3,2.2786305972508023,9.0
3,2.3025454566592263,10.0,2.2829435893467496,13.0
4,2.3033195374503967,8.9,2.271791730608259,12.0
5,2.3067452566964284,7.8,2.2704581192561557,13.0
6,2.2994132874503967,9.5,2.2747727802821567,14.0
7,2.3029077923487105,8.7,2.2785046441214427,13.0
8,2.3032090928819446,8.8,2.281283378601074,14.0
9,2.2991778661334323,7.9,2.2763355118887767,13.0
10,2.3038436647445435,7.9,2.27691582271031,15.0
