Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,1.223497860133648,57.2,0.4513438120484352,88.0
2,0.3857644791714847,86.6,0.3124698828905821,85.0
3,0.24136057461146265,91.3,0.3023607898503542,88.0
4,0.15871227823663503,95.5,0.23140763118863106,89.0
5,0.05025133630260825,98.1,0.2674415144138038,89.0
6,0.028433312894776464,98.9,0.21869090985273942,94.0
7,0.0022666663862764835,99.9,0.2876549026577777,95.0
8,0.008353967452421784,99.8,0.2964709103105321,93.0
9,0.0063684043707326055,99.9,0.3826199322938919,94.0
10,0.001013919129036367,99.9,0.5140974223613597,93.0
