Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,1.218244133517146,57.3,0.39784669503569603,82.0
2,0.3744173594750464,86.6,0.37911036144942045,84.0
3,0.16902450064662844,95.1,0.2768426631228067,86.0
4,0.1335587133653462,95.9,0.3887404921988491,87.0
5,0.15894573589321226,96.3,0.41072779581008945,89.0
6,0.03379416698589921,98.4,0.23188081569969654,92.0
7,0.006696438300423324,99.6,0.08862029353622347,94.0
8,0.005238615442067385,99.9,0.12416465535352472,94.0
9,0.007810187409631908,99.7,0.18521771859377623,94.0
10,0.00038494612090289593,100.0,0.22506630863063037,93.0
