Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,1.5172617211937904,47.7,0.6617383807897568,82.0
2,0.4397252765484154,84.7,0.4020148254930973,87.0
3,0.23471988458186388,93.0,0.2233770564198494,94.0
4,0.1212733699940145,95.9,0.2786378562450409,92.0
5,0.09383622906170785,96.8,0.2365833967924118,89.0
6,0.05293513659853488,98.4,0.19397369772195816,93.0
7,0.03417858190368861,98.7,0.1682216371409595,94.0
8,0.01928854186553508,99.3,0.18614788260310888,93.0
9,0.03481842391192913,99.1,0.19355883181560785,94.0
10,0.012419647420756519,99.7,0.1988511118106544,94.0
