Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,1.0233747386743153,64.7,0.3717836045793125,84.0
2,0.37267970991513083,87.5,0.3958052120038441,82.0
3,0.3015151787844915,91.4,0.6629872588174683,80.0
4,0.24917461439257577,94.3,0.33853353772844585,89.0
5,0.19608789079246067,95.4,0.6396332324615547,89.0
6,0.04189731417194245,99.0,0.4821513067165922,92.0
7,0.03369083929629553,99.5,0.5945626020007434,94.0
8,0.0061110443775615995,99.7,0.5739359679615258,93.0
9,0.0017544983161820306,99.9,0.5614840658158106,90.0
10,0.0010229734674332635,99.9,0.5686847093230816,92.0
