Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.424044370651245,14.5,2.169900596141815,23.0
2,2.1616737842559814,21.3,1.8326476514339447,55.0
3,1.5707846581935883,50.5,1.1997842341661453,77.0
4,0.8971348274499178,71.9,0.5555361062288284,85.0
5,0.5174223608337343,82.7,0.34747425839304924,89.0
6,0.43585953768342733,85.9,0.32837676629424095,90.0
7,0.4028661516495049,87.4,0.30017612129449844,91.0
8,0.35665583959780633,88.4,0.29042118415236473,90.0
9,0.3486721203662455,87.9,0.2789529003202915,90.0
10,0.32500724238343537,89.6,0.2602439448237419,91.0
