Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,1.0080995839089155,66.5,0.5286552645266056,84.0
2,0.35858340049162507,87.9,0.6707146912813187,72.0
3,0.24122159415856004,92.3,0.399666030483786,85.0
4,0.11136607208754867,96.1,0.6261332083959132,89.0
5,0.06093602254986763,97.9,0.4317384995520115,90.0
6,0.015461762668564916,99.6,0.24100808473303914,93.0
7,0.009338713716715574,99.7,0.26745234374538995,94.0
8,0.0008902405388653278,100.0,0.348533917684108,89.0
9,0.00025437120348215103,100.0,0.31406350358884083,94.0
10,0.00010424829088151455,100.0,0.3529934882417365,95.0
