Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.6957847958519343,9.8,2.5407070772988454,9.0
2,2.6629546634734624,10.3,2.540676934378488,9.0
3,2.6824524894593256,9.7,2.5406590018953596,9.0
4,2.687990945483011,10.4,2.540649039404733,9.0
5,2.6881655738467263,9.6,2.5406316178185597,9.0
6,2.6882440476190474,9.6,2.540631447519575,9.0
7,2.6820242745535716,9.6,2.5406309025628224,9.0
8,2.6558077373201887,11.3,2.5406295401709422,9.0
9,2.6999991280691966,8.3,2.5406290122440884,9.0
10,2.7056720067584323,9.5,2.5406284843172346,9.0
