Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.3032110305059526,10.1,2.3029047080448697,10.0
2,2.3032342819940474,9.0,2.302643503461565,10.0
3,2.3032439701140874,9.4,2.303067990711757,10.0
4,2.3030230809771823,9.1,2.3030811037336076,10.0
5,2.3031238374255953,7.8,2.3026137351989746,10.0
6,2.3028486948164684,8.8,2.3026391097477505,10.0
7,2.302463107638889,10.8,2.3025759628840854,10.0
8,2.302639431423611,9.8,2.3026421751294817,10.0
9,2.3029397631448414,9.2,2.302609886441912,10.0
10,2.302639431423611,9.2,2.3026042325156078,10.0
