Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.3033599853515625,10.0,2.300581932067871,10.0
2,2.3032684326171875,8.3,2.299410879611969,10.0
3,2.3031787872314453,8.9,2.2991206645965576,10.0
4,2.3033981323242188,9.5,2.300693154335022,10.0
5,2.302886962890625,8.9,2.301531434059143,10.0
6,2.302522659301758,10.2,2.301597833633423,10.0
7,2.302703857421875,8.6,2.301581025123596,10.0
8,2.3028030395507812,9.6,2.301587998867035,10.0
9,2.302753448486328,8.9,2.301598310470581,10.0
10,2.3028430938720703,9.8,2.301532804965973,10.0
