Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.3031349182128906,8.7,2.300728678703308,10.0
2,2.3029918670654297,10.2,2.300675868988037,10.0
3,2.3026676177978516,10.4,2.3016470670700073,10.0
4,2.3029308319091797,8.5,2.301704227924347,10.0
5,2.3030433654785156,9.6,2.3026578426361084,10.0
6,2.3025054931640625,10.1,2.302647650241852,10.0
7,2.3026790618896484,8.2,2.3026676177978516,10.0
8,2.302766799926758,9.2,2.302649140357971,10.0
9,2.3024673461914062,11.6,2.3026404976844788,10.0
10,2.3026504516601562,9.5,2.302640974521637,10.0
