Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.3030052185058594,8.8,2.300541639328003,10.0
2,2.3032379150390625,8.4,2.3007264733314514,10.0
3,2.303129196166992,8.6,2.300939977169037,10.0
4,2.3030948638916016,9.1,2.300990104675293,10.0
5,2.3030529022216797,7.8,2.3004143238067627,10.0
6,2.302427291870117,9.8,2.3004150390625,10.0
7,2.3025379180908203,10.2,2.3003056049346924,10.0
8,2.3027210235595703,10.4,2.3003087043762207,10.0
9,2.3024826049804688,9.5,2.3003551959991455,10.0
10,2.302562713623047,10.8,2.300358295440674,10.0
