Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.3024520874023438,9.0,2.3024688363075256,10.0
2,2.3026275634765625,9.6,2.302444815635681,10.0
3,2.302530288696289,9.9,2.3024667501449585,10.0
4,2.302736282348633,9.6,2.302551031112671,10.0
5,2.302755355834961,10.1,2.3024585247039795,10.0
6,2.3025760650634766,8.9,2.302456021308899,10.0
7,2.302675247192383,9.7,2.3024539947509766,10.0
8,2.302591323852539,10.5,2.30244380235672,10.0
9,2.302490234375,9.8,2.3024566769599915,10.0
10,2.3027191162109375,10.2,2.302424430847168,10.0
