Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.3039492652529763,8.9,2.303072997501918,10.0
2,2.3034512958829363,8.8,2.3025897911616733,10.0
3,2.3034261067708335,9.0,2.3027236461639404,10.0
4,2.3035210503472223,7.9,2.3030054909842357,10.0
5,2.303249782986111,9.3,2.302953311375209,10.0
6,2.302854507688492,10.0,2.3029377460479736,10.0
7,2.3026975601438493,9.5,2.3029346466064453,10.0
8,2.302736312624008,9.9,2.302917514528547,10.0
9,2.3026898096478177,10.1,2.3029183660234724,10.0
10,2.3026549324156744,10.3,2.302898270743234,10.0
