Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.3025386749751986,11.9,2.3016227313450406,10.0
2,2.3028661334325395,9.6,2.3016227313450406,10.0
3,2.3026239304315474,9.3,2.3016227313450406,10.0
4,2.302577427455357,10.6,2.3016227654048373,10.0
5,2.3027479383680554,9.6,2.3016227654048373,10.0
6,2.3026898096478177,9.8,2.3016227654048373,10.0
7,2.3026626829117065,8.9,2.3016227654048373,10.0
8,2.302579365079365,9.0,2.3016227654048373,10.0
9,2.3026219928075395,9.9,2.3016227654048373,10.0
10,2.302581302703373,9.8,2.3016227654048373,10.0
